(node:18892) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/viewAsProjectionClient.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1760ms

○ Compiling /captain-dashboard ...
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 87ms (next.js: 39ms, proxy.ts: 26ms, application-code: 22ms)
 GET /api/system-settings 200 in 65ms (next.js: 3ms, proxy.ts: 53ms, application-code: 10ms)
 GET /api/system-settings 200 in 140ms (next.js: 21ms, proxy.ts: 86ms, application-code: 33ms)
 GET /api/system-settings 200 in 64ms (next.js: 12ms, proxy.ts: 34ms, application-code: 17ms)
 GET /members/10000000-0000-4000-8000-000000000002 200 in 1901ms (next.js: 1289ms, proxy.ts: 11ms, application-code: 601ms)
 GET /api/system-settings 200 in 74ms (next.js: 15ms, proxy.ts: 18ms, application-code: 41ms)
 GET /teams 200 in 1834ms (next.js: 1297ms, proxy.ts: 12ms, application-code: 525ms)
 GET /captain-dashboard 200 in 306ms (next.js: 75ms, proxy.ts: 14ms, application-code: 217ms)
 GET /api/system-settings 200 in 253ms (next.js: 127ms, proxy.ts: 99ms, application-code: 27ms)
 GET /api/system-settings 200 in 199ms (next.js: 5ms, proxy.ts: 144ms, application-code: 50ms)
 GET /api/system-settings 200 in 20ms (next.js: 3ms, proxy.ts: 11ms, application-code: 6ms)
 GET /api/system-settings 200 in 28ms (next.js: 6ms, proxy.ts: 15ms, application-code: 6ms)
 GET /api/system-settings 200 in 29ms (next.js: 5ms, proxy.ts: 18ms, application-code: 7ms)
 GET /api/system-settings 200 in 26ms (next.js: 1988µs, proxy.ts: 17ms, application-code: 7ms)
 GET /api/system-settings 200 in 21ms (next.js: 2ms, proxy.ts: 6ms, application-code: 13ms)
 GET /divisions 200 in 1168ms (next.js: 913ms, proxy.ts: 5ms, application-code: 250ms)
 GET /api/system-settings 200 in 114ms (next.js: 73ms, proxy.ts: 17ms, application-code: 24ms)
 GET /captain-dashboard 200 in 304ms (next.js: 44ms, proxy.ts: 8ms, application-code: 252ms)
 GET /api/system-settings 200 in 43ms (next.js: 13ms, proxy.ts: 17ms, application-code: 13ms)
 GET /api/system-settings 200 in 71ms (next.js: 19ms, proxy.ts: 28ms, application-code: 24ms)
 GET /api/system-settings 200 in 35ms (next.js: 3ms, proxy.ts: 16ms, application-code: 16ms)
 GET /api/system-settings 200 in 19ms (next.js: 1891µs, proxy.ts: 11ms, application-code: 6ms)
 GET /api/system-settings 200 in 19ms (next.js: 2ms, proxy.ts: 7ms, application-code: 9ms)
 GET /locations 200 in 1208ms (next.js: 835ms, proxy.ts: 9ms, application-code: 364ms)
 GET /api/system-settings 200 in 182ms (next.js: 108ms, proxy.ts: 51ms, application-code: 24ms)
 GET /captain-dashboard 200 in 513ms (next.js: 107ms, proxy.ts: 16ms, application-code: 390ms)
 GET /api/system-settings 200 in 68ms (next.js: 21ms, proxy.ts: 25ms, application-code: 22ms)
 GET /api/system-settings 200 in 70ms (next.js: 12ms, proxy.ts: 49ms, application-code: 9ms)
 GET /api/system-settings 200 in 27ms (next.js: 3ms, proxy.ts: 8ms, application-code: 15ms)
 GET /api/system-settings 200 in 23ms (next.js: 5ms, proxy.ts: 11ms, application-code: 8ms)
 GET /api/system-settings 200 in 19ms (next.js: 3ms, proxy.ts: 10ms, application-code: 6ms)
 GET /scheduling 200 in 2.5s (next.js: 2.1s, proxy.ts: 12ms, application-code: 441ms)
 GET /captain-dashboard 200 in 549ms (next.js: 49ms, proxy.ts: 305ms, application-code: 195ms)
 GET /api/system-settings 200 in 200ms (next.js: 90ms, proxy.ts: 17ms, application-code: 93ms)
 GET /api/system-settings 200 in 57ms (next.js: 7ms, proxy.ts: 32ms, application-code: 18ms)
 GET /api/system-settings 200 in 63ms (next.js: 7ms, proxy.ts: 45ms, application-code: 11ms)
 GET /api/system-settings 200 in 40ms (next.js: 1280µs, proxy.ts: 27ms, application-code: 12ms)
 GET /api/system-settings 200 in 45ms (next.js: 11ms, proxy.ts: 21ms, application-code: 13ms)
 GET /api/system-settings 200 in 39ms (next.js: 2ms, proxy.ts: 29ms, application-code: 7ms)
 GET /matches 307 in 2.0s (next.js: 1731ms, proxy.ts: 5ms, application-code: 270ms)
 GET /scoring 200 in 2.4s (next.js: 2.1s, proxy.ts: 17ms, application-code: 236ms)
 GET /api/system-settings 200 in 209ms (next.js: 101ms, proxy.ts: 46ms, application-code: 62ms)
 GET /api/notification-templates?template_key=score_reminder 200 in 57ms (next.js: 11ms, proxy.ts: 22ms, application-code: 23ms)
 GET /captain-dashboard 200 in 448ms (next.js: 58ms, proxy.ts: 16ms, application-code: 374ms)
 GET /api/system-settings 200 in 53ms (next.js: 14ms, proxy.ts: 29ms, application-code: 10ms)
 GET /api/system-settings 200 in 69ms (next.js: 24ms, proxy.ts: 20ms, application-code: 24ms)
 GET /api/system-settings 200 in 25ms (next.js: 3ms, proxy.ts: 10ms, application-code: 13ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 11ms, application-code: 7ms)
 GET /api/system-settings 200 in 21ms (next.js: 2ms, proxy.ts: 7ms, application-code: 11ms)
 GET /standings 200 in 1317ms (next.js: 1068ms, proxy.ts: 6ms, application-code: 243ms)
 GET /api/system-settings 200 in 147ms (next.js: 84ms, proxy.ts: 27ms, application-code: 36ms)
 GET /captain-dashboard 200 in 502ms (next.js: 100ms, proxy.ts: 23ms, application-code: 379ms)
 GET /api/system-settings 200 in 46ms (next.js: 14ms, proxy.ts: 17ms, application-code: 16ms)
 GET /api/system-settings 200 in 54ms (next.js: 15ms, proxy.ts: 21ms, application-code: 19ms)
 GET /api/system-settings 200 in 248ms (next.js: 4ms, proxy.ts: 229ms, application-code: 15ms)
○ Compiling /ratings ...
 GET /api/system-settings 200 in 405ms (next.js: 60ms, proxy.ts: 304ms, application-code: 41ms)
 GET /api/system-settings 200 in 36ms (next.js: 3ms, proxy.ts: 24ms, application-code: 10ms)
 GET /ratings 200 in 3.8s (next.js: 3.4s, proxy.ts: 11ms, application-code: 391ms)
 GET /api/system-settings 200 in 43ms (next.js: 12ms, proxy.ts: 15ms, application-code: 16ms)
 GET /api/system-settings 200 in 51ms (next.js: 6ms, proxy.ts: 25ms, application-code: 19ms)
 GET /captain-dashboard 200 in 312ms (next.js: 75ms, proxy.ts: 10ms, application-code: 227ms)
 GET /api/system-settings 200 in 88ms (next.js: 51ms, proxy.ts: 14ms, application-code: 24ms)
 GET /api/system-settings 200 in 73ms (next.js: 21ms, proxy.ts: 30ms, application-code: 22ms)
 GET /api/system-settings 200 in 62ms (next.js: 7ms, proxy.ts: 36ms, application-code: 19ms)
 GET /api/system-settings 200 in 24ms (next.js: 6ms, proxy.ts: 10ms, application-code: 9ms)
 GET /api/system-settings 200 in 23ms (next.js: 2ms, proxy.ts: 9ms, application-code: 13ms)
 GET /api/system-settings 200 in 19ms (next.js: 2ms, proxy.ts: 10ms, application-code: 6ms)
 GET /view-as-test?member=7 200 in 92ms (next.js: 27ms, proxy.ts: 5ms, application-code: 59ms)
 GET /api/system-settings 200 in 28ms (next.js: 9ms, proxy.ts: 7ms, application-code: 12ms)
 GET /api/system-settings 200 in 50ms (next.js: 29ms, proxy.ts: 8ms, application-code: 13ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 52ms (next.js: 14ms, proxy.ts: 8ms, application-code: 30ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 53ms (next.js: 23ms, proxy.ts: 8ms, application-code: 22ms)
 GET / 200 in 310ms (next.js: 41ms, proxy.ts: 7ms, application-code: 263ms)
 GET /api/system-settings 200 in 24ms (next.js: 3ms, proxy.ts: 10ms, application-code: 11ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 40ms (next.js: 13ms, proxy.ts: 7ms, application-code: 20ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 49ms (next.js: 26ms, proxy.ts: 7ms, application-code: 16ms)
 GET /api/system-settings 200 in 63ms (next.js: 23ms, proxy.ts: 26ms, application-code: 14ms)
 GET /api/notification-template-history 200 in 50ms (next.js: 15ms, proxy.ts: 14ms, application-code: 22ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 136ms (next.js: 18ms, proxy.ts: 16ms, application-code: 101ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 141ms (next.js: 4ms, proxy.ts: 16ms, application-code: 122ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 143ms (next.js: 14ms, proxy.ts: 16ms, application-code: 114ms)
 POST /api/match-setup-reminders 200 in 149ms (next.js: 62ms, proxy.ts: 17ms, application-code: 71ms)
 GET /members 200 in 117ms (next.js: 38ms, proxy.ts: 6ms, application-code: 72ms)
 GET /api/system-settings 200 in 50ms (next.js: 7ms, proxy.ts: 17ms, application-code: 26ms)
 GET /api/system-settings 200 in 85ms (next.js: 43ms, proxy.ts: 17ms, application-code: 25ms)
 GET /api/admin/member-directory?mode=members&page=1&pageSize=100&search=&includeInactive=false&currentRosterOnly=false&sort=member&direction=asc 500 in 100ms (next.js: 25ms, proxy.ts: 17ms, application-code: 58ms)
 GET /api/system-settings 200 in 75ms (next.js: 11ms, proxy.ts: 42ms, application-code: 21ms)
 GET /api/system-settings 200 in 64ms (next.js: 14ms, proxy.ts: 19ms, application-code: 32ms)
 GET /teams 200 in 85ms (next.js: 26ms, proxy.ts: 9ms, application-code: 50ms)
 GET /api/system-settings 200 in 22ms (next.js: 7ms, proxy.ts: 7ms, application-code: 9ms)
 GET /api/system-settings 200 in 27ms (next.js: 8ms, proxy.ts: 9ms, application-code: 10ms)
 GET /api/system-settings 200 in 24ms (next.js: 8ms, proxy.ts: 9ms, application-code: 7ms)
 GET /api/system-settings 200 in 19ms (next.js: 3ms, proxy.ts: 7ms, application-code: 9ms)
 GET /view-as-test?member=1 200 in 49ms (next.js: 6ms, proxy.ts: 7ms, application-code: 36ms)
 GET /api/system-settings 200 in 17ms (next.js: 3ms, proxy.ts: 6ms, application-code: 9ms)
 GET /api/system-settings 200 in 37ms (next.js: 17ms, proxy.ts: 10ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 41ms (next.js: 5ms, proxy.ts: 10ms, application-code: 26ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 43ms (next.js: 10ms, proxy.ts: 10ms, application-code: 24ms)
 GET /player-dashboard 200 in 2.4s (next.js: 1917ms, proxy.ts: 6ms, application-code: 462ms)
 GET /captain-dashboard 200 in 406ms (next.js: 143ms, proxy.ts: 19ms, application-code: 243ms)
 GET /api/system-settings 200 in 297ms (next.js: 233ms, proxy.ts: 36ms, application-code: 28ms)
 GET /api/system-settings 200 in 73ms (next.js: 20ms, proxy.ts: 42ms, application-code: 12ms)
 GET /api/system-settings 200 in 67ms (next.js: 8ms, proxy.ts: 17ms, application-code: 42ms)
 GET /api/system-settings 200 in 24ms (next.js: 3ms, proxy.ts: 9ms, application-code: 12ms)
 GET /api/system-settings 200 in 24ms (next.js: 4ms, proxy.ts: 12ms, application-code: 8ms)
 GET /view-as-test?member=2 200 in 232ms (next.js: 172ms, proxy.ts: 11ms, application-code: 49ms)
 GET /api/system-settings 200 in 28ms (next.js: 3ms, proxy.ts: 10ms, application-code: 15ms)
 GET /api/system-settings 200 in 78ms (next.js: 7ms, proxy.ts: 10ms, application-code: 61ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 103ms (next.js: 46ms, proxy.ts: 10ms, application-code: 47ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 109ms (next.js: 57ms, proxy.ts: 10ms, application-code: 41ms)
○ Compiling /api/view-as/read ...
 POST /api/view-as/read 403 in 3.5s (next.js: 3.4s, proxy.ts: 7ms, application-code: 11ms)
 GET /captain-dashboard 200 in 537ms (next.js: 101ms, proxy.ts: 177ms, application-code: 259ms)
 POST /api/view-as/exchange 403 in 3.3s (next.js: 3.0s, proxy.ts: 259ms, application-code: 10ms)
 GET /api/system-settings 200 in 143ms (next.js: 19ms, proxy.ts: 98ms, application-code: 26ms)
 GET /captain-dashboard 200 in 1375ms (next.js: 952ms, proxy.ts: 9ms, application-code: 413ms)
 GET /api/system-settings 200 in 46ms (next.js: 11ms, proxy.ts: 13ms, application-code: 21ms)
 GET /api/system-settings 200 in 68ms (next.js: 11ms, proxy.ts: 33ms, application-code: 24ms)
○ Compiling /teams/[id] ...
 GET /api/system-settings 200 in 1432ms (next.js: 60ms, proxy.ts: 1339ms, application-code: 33ms)
 GET /api/system-settings 200 in 79ms (next.js: 3ms, proxy.ts: 23ms, application-code: 54ms)
 GET /api/system-settings 200 in 27ms (next.js: 5ms, proxy.ts: 9ms, application-code: 13ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 5.8s (next.js: 5.6s, proxy.ts: 14ms, application-code: 195ms)
 GET /api/system-settings 200 in 49ms (next.js: 7ms, proxy.ts: 19ms, application-code: 23ms)
 GET /api/system-settings 200 in 26ms (next.js: 3ms, proxy.ts: 12ms, application-code: 11ms)
 GET /captain-dashboard 200 in 226ms (next.js: 57ms, proxy.ts: 9ms, application-code: 160ms)
 GET /api/system-settings 200 in 66ms (next.js: 9ms, proxy.ts: 41ms, application-code: 16ms)
 GET /api/system-settings 200 in 54ms (next.js: 11ms, proxy.ts: 23ms, application-code: 20ms)
 GET /api/system-settings 200 in 22ms (next.js: 8ms, proxy.ts: 7ms, application-code: 7ms)
 GET /api/system-settings 200 in 41ms (next.js: 4ms, proxy.ts: 24ms, application-code: 13ms)
 GET /api/system-settings 200 in 23ms (next.js: 4ms, proxy.ts: 12ms, application-code: 7ms)
 GET /view-as-test?member=3 200 in 82ms (next.js: 22ms, proxy.ts: 8ms, application-code: 52ms)
 GET /api/system-settings 200 in 16ms (next.js: 3ms, proxy.ts: 5ms, application-code: 8ms)
 GET /api/system-settings 200 in 45ms (next.js: 23ms, proxy.ts: 8ms, application-code: 14ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 47ms (next.js: 10ms, proxy.ts: 8ms, application-code: 29ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 403 in 49ms (next.js: 18ms, proxy.ts: 8ms, application-code: 24ms)
 GET /captain-dashboard 200 in 49ms (next.js: 3ms, proxy.ts: 5ms, application-code: 41ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 11ms, application-code: 8ms)
 GET /api/system-settings 200 in 15ms (next.js: 1875µs, proxy.ts: 5ms, application-code: 8ms)
 GET /api/system-settings 200 in 26ms (next.js: 7ms, proxy.ts: 9ms, application-code: 10ms)
 GET /view-as-test?member=5 200 in 45ms (next.js: 3ms, proxy.ts: 7ms, application-code: 35ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 7ms, application-code: 11ms)
